mgss,colors
Lactobacillus_jensenii_8,#FEFAD1
Lactobacillus_jensenii_9,#FEFCE9
Lactobacillus_mulieris,#D4AF39
Lactobacillus_mulieris_1,#D8B74D
Lactobacillus_mulieris_2,#DDBF61
Lactobacillus_mulieris_3,#E1C775
Lactobacillus_mulieris_4,#E5CF89
Lactobacillus_mulieris_5,#E9D79D
Lactobacillus_mulieris_6,#EEDFB1
Lactobacillus_mulieris_7,#F2E7C5
Lactobacillus_mulieris_8,#F6EFD9
Lactobacillus_mulieris_9,#FBF7ED
Lactobacillus_paragasseri,#0F411A
Lactobacillus_paragasseri_1,#275531
Lactobacillus_paragasseri_2,#3F6848
Lactobacillus_paragasseri_3,#587B5F
Lactobacillus_paragasseri_4,#708E76
Lactobacillus_paragasseri_5,#88A18D
Lactobacillus_paragasseri_6,#A0B4A4
Lactobacillus_paragasseri_7,#B8C7BC
Lactobacillus_paragasseri_8,#D1DAD3
Lactobacillus_paragasseri_9,#E9EDEA
Limosilactobacillus_portuensis,#CF38B5
Limosilactobacillus_portuensis_1,#D44CBD
Limosilactobacillus_portuensis_2,#D960C4
Limosilactobacillus_portuensis_3,#DD74CB
Limosilactobacillus_portuensis_4,#E288D3
Limosilactobacillus_portuensis_5,#E79CDA
Limosilactobacillus_portuensis_6,#ECB0E2
Limosilactobacillus_portuensis_7,#F1C4E9
Limosilactobacillus_portuensis_8,#F5D8F0
Limosilactobacillus_portuensis_9,#FAECF8
Megasphaera_lornae,#028C46
Megasphaera_lornae_1,#1C9759
Megasphaera_lornae_2,#35A36C
Megasphaera_lornae_3,#4FAE7E
Megasphaera_lornae_4,#68BA91
Megasphaera_lornae_5,#82C6A3
Megasphaera_lornae_6,#9BD1B6
Megasphaera_lornae_7,#B5DDC9
Megasphaera_lornae_8,#CEE8DB
Megasphaera_lornae_9,#E8F4EE
Mobiluncus_mulieris,#F08181
Mobiluncus_mulieris_1,#F18D8D
Mobiluncus_mulieris_2,#F39A9A
Mobiluncus_mulieris_3,#F4A7A7
Mobiluncus_mulieris_4,#F6B4B4
Mobiluncus_mulieris_5,#F7C0C0
Mobiluncus_mulieris_6,#F9CDCD
Mobiluncus_mulieris_7,#FADADA
Mobiluncus_mulieris_8,#FCE6E6
Mobiluncus_mulieris_9,#FDF3F3
Nanoperiomorbus_sp004136275,#623C1C
Nanoperiomorbus_sp004136275_1,#725033
Nanoperiomorbus_sp004136275_2,#82644A
Nanoperiomorbus_sp004136275_3,#917760
Nanoperiomorbus_sp004136275_4,#A18B77
Nanoperiomorbus_sp004136275_5,#B19E8E
Nanoperiomorbus_sp004136275_6,#C1B2A5
Nanoperiomorbus_sp004136275_7,#D1C6BC
Nanoperiomorbus_sp004136275_8,#E0D9D3
Nanoperiomorbus_sp004136275_9,#F0EDEA
Prevotella,#694B6C
Prevotella_1,#785D7B
Prevotella_2,#87708A
Prevotella_3,#968298
Prevotella_4,#A594A7
Prevotella_5,#B5A6B6
Prevotella_6,#C4B8C5
Prevotella_7,#D3CAD4
Prevotella_8,#E2DCE2
Prevotella_9,#F1EEF1
Prevotella_amnii,#785D7A
Prevotella_amnii_1,#856D87
Prevotella_amnii_2,#937E95
Prevotella_amnii_3,#A18EA2
Prevotella_amnii_4,#AE9EAF
Prevotella_amnii_5,#BCAFBD
Prevotella_amnii_6,#C9BFCA
Prevotella_amnii_7,#D7CFD8
Prevotella_amnii_8,#E5E0E5
Prevotella_amnii_9,#F2F0F2
Prevotella_bivia,#876F89
Prevotella_bivia_1,#937D95
Prevotella_bivia_2,#9F8CA0
Prevotella_bivia_3,#AB9AAC
Prevotella_bivia_4,#B7A9B8
Prevotella_bivia_5,#C3B7C4
Prevotella_bivia_6,#CFC6D0
Prevotella_bivia_7,#DBD4DC
Prevotella_bivia_8,#E8E3E8
Prevotella_bivia_9,#F4F1F4
Prevotella_sp000758925,#968198
Prevotella_sp000758925_1,#A08DA2
Prevotella_sp000758925_2,#AB9AAC
Prevotella_sp000758925_3,#B5A7B7
Prevotella_sp000758925_4,#C0B4C1
Prevotella_sp000758925_5,#CBC0CC
Prevotella_sp000758925_6,#D5CDD6
Prevotella_sp000758925_7,#E0DAE0
Prevotella_sp000758925_8,#EAE6EB
Prevotella_sp000758925_9,#F5F3F5
Prevotella_spNov3,#A493A6
Prevotella_spNov3_1,#AE9DAF
Prevotella_spNov3_2,#B7A8B8
Prevotella_spNov3_3,#C0B3C1
Prevotella_spNov3_4,#C9BECA
Prevotella_spNov3_5,#D2C9D3
Prevotella_spNov3_6,#DBD4DC
Prevotella_spNov3_7,#E4DFE5
Prevotella_spNov3_8,#EDEAEE
Prevotella_spNov3_9,#F6F5F6
Prevotella_timonensis,#B3A4B5
Prevotella_timonensis_1,#BBAEBD
Prevotella_timonensis_2,#C2B7C4
Prevotella_timonensis_3,#CAC0CB
Prevotella_timonensis_4,#D2C9D3
Prevotella_timonensis_5,#D9D2DA
Prevotella_timonensis_6,#E1DBE2
Prevotella_timonensis_7,#E8E4E9
Prevotella_timonensis_8,#F0EDF0
Prevotella_timonensis_9,#F8F6F8
Sneathia_vaginalis,#6A64FF
Sneathia_vaginalis_1,#7974FF
Sneathia_vaginalis_2,#8883FF
Sneathia_vaginalis_3,#9793FF
Sneathia_vaginalis_4,#A6A2FF
Sneathia_vaginalis_5,#B5B2FF
Sneathia_vaginalis_6,#C4C2FF
Sneathia_vaginalis_7,#D3D1FF
Sneathia_vaginalis_8,#E2E1FF
Sneathia_vaginalis_9,#F1F0FF
Streptococcus_agalactiae,#C43EB0
Streptococcus_agalactiae_1,#CA52B8
Streptococcus_agalactiae_2,#D065C0
Streptococcus_agalactiae_3,#D679C8
Streptococcus_agalactiae_4,#DC8CD0
Streptococcus_agalactiae_5,#E29FD8
Streptococcus_agalactiae_6,#E7B3E0
Streptococcus_agalactiae_7,#EDC6E8
Streptococcus_agalactiae_8,#F3DAEF
Streptococcus_agalactiae_9,#F9EDF7
Streptococcus_anginosus,#FFBAF8
Streptococcus_anginosus_1,#FFC1F8
Streptococcus_anginosus_2,#FFC8F9
Streptococcus_anginosus_3,#FFCFFA
Streptococcus_anginosus_4,#FFD6FA
Streptococcus_anginosus_5,#FFDDFB
Streptococcus_anginosus_6,#FFE4FC
Streptococcus_anginosus_7,#FFEAFC
Streptococcus_anginosus_8,#FFF1FD
Streptococcus_anginosus_9,#FFF8FE
Streptococcus_mitis,#C772BA
Streptococcus_mitis_1,#CD80C1
Streptococcus_mitis_2,#D28EC8
Streptococcus_mitis_3,#D89DCF
Streptococcus_mitis_4,#DDABD6
Streptococcus_mitis_5,#E3B9DD
Streptococcus_mitis_6,#E9C7E4
Streptococcus_mitis_7,#EED5EA
Streptococcus_mitis_8,#F4E4F1
Streptococcus_mitis_9,#F9F2F8
Trichomonas_vaginalis,#0278FF
Trichomonas_vaginalis_1,#1C85FF
Trichomonas_vaginalis_2,#3593FF
Trichomonas_vaginalis_3,#4FA1FF
