,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Propionimicrobium_lymphophilum,1,41,111413,159218,14219,25599,46815,112206,789899
Sneathia_sanguinegens.1,1,149,152983,252064,13855,32959,77310,171557,2137024
Sneathia_sanguinegens.2,2,122,143053,191746,12868,27553,64126,193604,1221442
Sneathia_sanguinegens.3,3,86,200592,225633,14730,46654,124478,253629,1012397
Sneathia_sanguinegens.4,4,65,122118,169414,13964,31880,77082,136511,1204799
Sneathia_sanguinegens.5,5,42,190635,443117,11533,36108,70098,151638,2744557
Sneathia_sanguinegens.6,6,42,286930,414072,13069,42926,160646,357581,1982497
Sneathia_sanguinegens.7,7,33,134998,121540,14977,36631,98369,185249,420174
Sneathia_sanguinegens.8,8,20,74232,56552,13011,24898,63034,108894,210057
Sneathia_vaginalis.1,1,467,292423,605001,10810,40431,93720,293992,6368339
Sneathia_vaginalis.2,2,167,766696,1447154,12812,69644,237384,894224,11473092
Sneathia_vaginalis.3,3,20,1104195,1785022,8404,103250,316115,1650325,7787318
Sodaliphilus_spNov1,1,98,387323,1001317,13881,28883,90660,240460,6262600
Staphylococcus_aureus,1,25,449347,1845131,19143,27623,57122,139883,9300692
Staphylococcus_epidermidis.1,1,35,235152,287512,14023,52136,126281,233378,1058979
Staphylococcus_epidermidis.2,2,28,49518,51779,14507,21384,33613,52508,222612
Stomatobaculum_sp002892395.1,1,44,231149,469016,16127,45479,87234,178240,2780547
Stomatobaculum_sp002892395.2,2,39,367376,973886,14940,53342,168786,250060,6106147
Stomatobaculum_sp002892395.3,3,29,231780,773784,16369,30525,55016,101841,4223562
Streptococcus,1,45,119914,164963,7945,37739,57942,126998,805968
Streptococcus_agalactiae.1,1,35,314448,372121,17811,43660,128957,534140,1620475
Streptococcus_agalactiae.2,2,34,350528,909023,15722,43358,75735,208124,5064143
Streptococcus_agalactiae.3,3,22,466182,1112211,23159,36096,109794,266941,5129950
Streptococcus_agalactiae.4,4,14,799360,1818639,18862,32337,57034,219486,6117007
Streptococcus_anginosus.1,1,12,142087,242316,16260,26520,39277,106222,836620
Streptococcus_anginosus.2,2,130,342396,1534699,12516,30708,61100,123992,12949323
Streptococcus_anginosus.3,3,54,281967,493568,12086,40152,95848,176394,2888749
Streptococcus_mitis.1,1,85,332093,716910,11878,31603,74058,328684,5438767
Streptococcus_mitis.2,2,55,336528,675028,15439,34582,134497,313012,3988004
Streptococcus_salivarius,1,23,174897,177001,24223,49349,84539,264500,568696
Sutterella_spNov1,1,20,124841,170818,18609,34485,50689,156890,686784
UBA629_sp005465875.1,1,270,5217944,10164046,11117,155804,1237261,5808080,105858042
UBA629_sp005465875.2,2,208,5453882,9314584,10876,132260,1718733,6061248,68038837
UBA629_sp005465875.3,3,66,4115149,7860545,15485,93452,592940,4690965,44151480
Ureaplasma_parvum.1,1,49,39718,56513,5697,10145,19293,44376,280753
Ureaplasma_parvum.2,2,42,16313,13744,4384,7900,11442,19098,61092
Ureaplasma_parvum.3,3,34,63352,129796,6076,12397,16863,39458,620942
Ureaplasma_parvum.4,4,33,20779,14157,5535,11573,15095,23964,57949
Ureaplasma_parvum.5,5,22,44213,91933,6642,8933,18375,29233,440347
Ureaplasma_parvum.6,6,18,28983,21818,6099,14688,20586,43397,88258
Ureaplasma_parvum.7,7,18,10130,5732,5035,6612,7646,12636,27459
Ureaplasma_parvum.8,8,16,13425,6514,5106,8160,12368,16075,25570
Ureaplasma_parvum.9,9,14,32689,45402,5262,8940,13943,32582,178109
Ureaplasma_parvum.10,10,10,15174,12199,4852,7623,9038,16539,39766
Ureaplasma_urealyticum.1,1,12,11534,7731,5032,7380,9284,11290,30816
Ureaplasma_urealyticum.2,2,33,32118,30463,4622,12013,21358,38942,125922
Varibaculum_cambriense.1,1,40,113771,179424,13209,24402,40413,96672,730970
Varibaculum_cambriense.2,2,24,180394,329694,14928,34702,49748,105816,1245056
Veillonella_montpellierensis.1,1,54,186015,341511,13212,32723,82640,192301,2051727
Veillonella_montpellierensis.2,2,49,163463,330252,12305,25776,51586,215091,2192581
Winkia_neuii,1,24,82351,100148,17733,24508,47408,82840,420806
